Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Daniel Oturu,LAC,@OKC,05/16/2021,L,37,13,5,21,23.8,1,4,25.0,2,2,100,7,5,12,2,2,1,2,3,-2
Yogi Ferrell,LAC,@OKC,05/16/2021,L,27,14,5,12,41.7,2,6,33.3,2,2,100,2,5,7,2,1,0,0,3,-7
Ivica Zubac,LAC,@OKC,05/16/2021,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,0
Terance Mann,LAC,@OKC,05/16/2021,L,23,19,7,8,87.5,1,2,50.0,4,5,80.0,0,2,2,1,0,0,0,1,16
Isaiah Roby,OKC,vs.LAC,05/16/2021,W,12,10,5,8,62.5,0,1,0.0,0,0,-,0,5,5,0,0,0,0,1,8
Kelan Martin,IND,@TOR,05/16/2021,W,18,13,4,11,36.4,3,7,42.9,2,2,100,0,4,4,1,0,0,1,0,3
Domantas Sabonis,IND,@TOR,05/16/2021,W,39,25,12,18,66.7,1,2,50.0,0,0,-,3,13,16,5,3,0,6,3,9
Caris LeVert,IND,@TOR,05/16/2021,W,21,13,4,8,50.0,1,2,50.0,4,4,100,0,1,1,6,2,0,1,1,11
Doug McDermott,IND,@TOR,05/16/2021,W,32,20,8,15,53.3,4,8,50.0,0,0,-,0,1,1,2,1,1,1,4,3
Aron Baynes,TOR,vs.IND,05/16/2021,L,26,14,5,11,45.5,3,5,60.0,1,2,50.0,2,8,10,0,0,1,1,2,-5
Stanley Johnson,TOR,vs.IND,05/16/2021,L,43,24,6,18,33.3,3,12,25.0,9,11,81.8,3,2,5,7,2,0,6,1,-8
DeAndre' Bembry,TOR,vs.IND,05/16/2021,L,42,23,9,22,40.9,1,5,20.0,4,4,100,1,4,5,4,3,0,2,3,-12
Oshae Brissett,IND,@TOR,05/16/2021,W,36,31,10,16,62.5,5,8,62.5,6,9,66.7,1,9,10,3,0,0,0,3,10
Freddie Gillespie,TOR,vs.IND,05/16/2021,L,41,7,3,9,33.3,0,0,-,1,4,25.0,5,5,10,1,0,1,0,2,-14
Goga Bitadze,IND,@TOR,05/16/2021,W,11,4,2,5,40.0,0,2,0.0,0,0,-,3,1,4,0,0,0,0,2,0
Justin Holiday,IND,@TOR,05/16/2021,W,30,7,2,9,22.2,1,6,16.7,2,3,66.7,1,2,3,0,0,0,1,1,9
JaKarr Sampson,IND,@TOR,05/16/2021,W,12,0,0,3,0.0,0,0,-,0,0,-,1,2,3,0,0,1,1,3,2
Malachi Flynn,TOR,vs.IND,05/16/2021,L,46,27,8,22,36.4,5,13,38.5,6,6,100,0,4,4,5,2,1,2,2,-12
T.J. McConnell,IND,@TOR,05/16/2021,W,40,12,6,10,60.0,0,2,0.0,0,0,-,1,4,5,17,2,1,2,2,13
Khem Birch,TOR,vs.IND,05/16/2021,L,42,18,8,15,53.3,0,3,0.0,2,2,100,5,9,14,4,1,0,1,2,-9
Alex Len,WAS,vs.CHA,05/16/2021,W,5,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,1,-5
P.J. Washington,CHA,@WAS,05/16/2021,L,30,11,4,10,40.0,3,9,33.3,0,0,-,1,8,9,4,2,1,2,4,2
